"","hostResponseHours","neighbourhoodCleansed","neighbourhoodGroupCleansed","accommodates","bathrooms","bedType","bedrooms","beds","TV","cancellationPolicy","cleaningFee","extraPeople","guestsIncluded","maximumNights","minimumNights","price","propertyType","roomType","securityDeposit","numberOfReviews","reviewScoresAccuracy","reviewScoresCheckin","reviewScoresCleanliness","reviewScoresCommunication","reviewScoresLocation","reviewScoresRating","reviewScoresValue","reviewsperMonth","checkIn24Hours","airConditioning","buzzerOrWirelessIntercom","cableTV","carbonMonoxideDetector","doorman","dryer","elevator","essentials","familyAndKidFriendly","fireExtinguisher","firstAidKit","freeParkingOnPremises","gym","hairdryer","hangers","heating","hottub","internet","iron","kitchen","laptopFriendlyWorkspace","lockOnBedroomDoor","petsAllowed","petsLiveOnThisProperty","pool","selfCheckIn","shampoo","smokeDetector","smokingAllowed","washer","wheelchairAccessible","wirelessInternet","hostHasProfilePic","hostIdentityVerified","hostIsSuperhost","instantBookable","isLocationExact","requireGuestPhoneVerification","requireGuestProfilePicture","featureCount","yearsAsHost"
"15580",12,"Greenwich Village","Manhattan",8,1,"Real Bed",3,5,1,"strict",200,100,2,1125,2,527.150756835938,"Apartment","Entire home/apt",500,14,10,10,9,10,10,99,9,0.34,"1","1","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0","1","0","0","0","1","1","0","1","1","1","1","1","0","0","1","0","1",28,7
"15776",1,"Kips Bay","Manhattan",3,1,"Real Bed",3,3,1,"flexible",0,0,1,1125,1,336.520782470703,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0",10,5
"16122",1,"Upper East Side","Manhattan",13,2,"Real Bed",4,8,0,"moderate",0,0,1,1125,1,436.216339111328,"House","Entire home/apt",0,94,10,10,10,10,10,98,10,2.97,"1","1","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","1","1","1","1","0","1","0","0",19,5
"16342",1,"East Village","Manhattan",1,1,"Real Bed",1,1,0,"flexible",0,0,1,1125,1,85.9135131835938,"Apartment","Private room",0,0,0,0,0,0,0,0,0,0,"0","1","1","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","1","0","1","1","0","0","0","1","0","0",20,3
"16448",1,"Harlem","Manhattan",6,1,"Real Bed",0,1,1,"flexible",25,0,1,61,60,102.362968444824,"Apartment","Entire home/apt",100,4,10,10,10,10,10,100,10,0.43,"1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0",16,3
"16600",1,"Gramercy","Manhattan",1,1,"Couch",0,1,1,"strict",0,0,1,90,7,162.91227722168,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","1","0","0",14,4
"16620",24,"Other","Manhattan",6,1,"Real Bed",2,4,1,"strict",100,0,4,90,5,401.527862548828,"Loft","Entire home/apt",700,8,10,10,10,9,9,100,10,0.27,"1","1","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0","1","0","0","0","1","1","0","1","1","1","1","1","0","0","1","1","1",29,8
"16629",1,"Upper East Side","Manhattan",3,1,"Real Bed",3,3,1,"flexible",0,0,1,1125,1,294.942810058594,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0",10,5
"16642",12,"Upper East Side","Manhattan",10,5,"Real Bed",4,6,1,"strict",350,150,6,30,3,782.1611328125,"Townhouse","Entire home/apt",0,24,9,10,9,9,10,91,9,1.12,"1","1","1","1","1","0","1","0","1","1","1","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","0","1","0","1","0","1","1","1","0","0","1","0","0",24,5
"16661",1,"Upper East Side","Manhattan",14,4,"Real Bed",5,8,1,"strict",300,100,10,90,2,774.156555175781,"Townhouse","Entire home/apt",300,18,9,10,10,10,10,94,10,0.81,"1","1","1","1","1","0","1","0","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","1","0","0",25,4
"17216",12,"Midtown","Manhattan",8,2.5,"Real Bed",2,4,1,"strict",165,0,1,1125,7,676.867248535156,"Apartment","Entire home/apt",0,1,10,10,10,8,10,100,10,0.05,"0","1","0","1","0","1","1","1","1","1","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","1","1","0","1","0","1","1","1","0","0","1","0","0",19,5
"17371",1,"East Village","Manhattan",4,1,"Real Bed",2,4,1,"flexible",0,0,1,1125,1,309.343780517578,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0",14,8
"17616",72,"East Village","Manhattan",8,3,"Real Bed",5,5,1,"strict",500,0,1,730,13,701.509948730469,"House","Entire home/apt",0,1,10,10,10,10,10,100,8,0.1,"0","1","0","1","1","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","0","1","0","0",17,8
"17667",1,"Financial District","Manhattan",6,2,"Real Bed",2,2,1,"flexible",0,0,1,1125,1,553.752075195312,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","1","1","1","0","1","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","1","1","1","1","1","0","0","1","0","0",19,5
"17992",1,"Hell's Kitchen","Manhattan",4,1,"Real Bed",2,2,1,"strict",70,0,1,365,30,238.217544555664,"Apartment","Entire home/apt",0,6,9,10,10,10,10,97,10,0.57,"1","1","1","1","1","0","1","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","1","1","0","0","0","0","0",22,5
"18377",1,"Hell's Kitchen","Manhattan",1,1,"Real Bed",1,1,1,"strict",0,0,1,1125,1,164.285430908203,"Apartment","Private room",0,0,0,0,0,0,0,0,0,0,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",7,4
"18811",1,"Other","Manhattan",3,1,"Real Bed",1,2,0,"flexible",0,30,2,1125,1,144.524215698242,"Apartment","Entire home/apt",0,2,10,7,5,8,9,76,7,0.04,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1",9,9
"19050",1,"Upper East Side","Manhattan",3,2,"Real Bed",3,3,1,"flexible",0,0,1,1125,1,318.665832519531,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"1","1","1","1","0","1","1","1","1","1","0","0","0","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0",19,4
"19055",1,"Upper West Side","Manhattan",2,1,"Real Bed",1,1,1,"flexible",100,0,1,1125,1,282.782806396484,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","0","1","1","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0",15,5
"19154",1,"Chelsea","Manhattan",16,1,"Real Bed",0,1,0,"strict",0,0,1,1125,1,317.8828125,"Other","Private room",0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",8,2
